dc:title,dc:creator,prism:publicationName,prism:doi,citedby-count,openaccessFlag,affilname,affiliation-city,affiliation-country,abstract,processedAbstract
An empirical study on the intra-urban goods movement patterns using logistics big data,Zhao P.,International Journal of Geographical Information Science,10.1080/13658816.2018.1520236,34,False,ETH Zürich,Zurich,Switzerland,"Movement patterns of intra-urban goods/things and the ways they differ from human mobility and traffic flow patterns have seldom been explored due to data access and methodological limitations, especially from systemic and long timescale perspectives. However, urban logistics big data are increasingly available, enabling unprecedented spatial and temporal resolutions to this issue. This research proposes an analytical framework for exploring intra-urban goods movement patterns by integrating spatial analysis, network analysis and spatial interaction analysis. Using daily urban logistics big data (over 10 million orders) provided by the largest online logistics company in Hong Kong (GoGoVan) from 2014 to 2016, we analyzed two spatial characteristics (displacement and direction) of urban goods movement. Results showed that the distribution of goods displaceFower law or exponential distribution of human mobility trends. The origin–destination flows of goods were used to build a spatially embedded network, revealing that Hong Kong became increasingly connected through intra-urban freight movement. Finally, spatial interaction characteristics were revealed using a fitting gravity model. Distance lacked substantial influence on the spatial interaction of goods movement. These findings have policy implications to intra-urban logistics and urban transport planning.","['timescale', 'distribution', 'orders', 'systemic', 'exponential', 'characteristics', 'seldom', 'enabling', 'build', 'company', 'proposes', 'policy', 'issue', 'mobility', 'movement', 'implications', 'showed', 'direction', 'became', 'hong', 'transport', 'online', 'interaction', 'unprecedented', 'temporal', 'gravity', 'available', 'resolutions', 'gogovan', 'connected', 'logistics', 'methodological', 'analytical', 'human', 'substantial', 'law', 'lacked', 'analyzed', 'two', 'differ', 'revealed', 'patterns', 'integrating', 'distance', 'trends', 'million', 'origindestination', 'displacefower', 'access', 'kong', 'finally', 'daily', 'especially', 'fitting', 'increasingly', 'network', 'spatially', 'flow', 'exploring', 'largest', 'displacement', 'intraurban', 'influence', 'embedded', 'due', 'perspectives', 'limitations', 'revealing', 'long', 'goodsthings', 'explored', 'traffic', 'ways', 'goods', 'freight', 'provided', 'flows']"
"Identification method and empirical study of urban industrial spatial relationship based on POI big data: a case of Shenyang City, China",Xue B.,Geography and Sustainability,10.1016/j.geosus.2020.06.003,52,True,"Institute of Applied Ecology, Chinese Academy of Sciences",Shenyang,China,"The industrial spatial relationship is a cross-cutting subject of economic geography and geographical information science which has considerable significance to promote a sustainable planning and development of regional economic system. Taking Shenyang City as our study area and using the location information of manufacturing units and automobile sales outlets extracted from points of interest (POI), we investigated the spatial relationship between the two industries from integration, correlation and coordination perspective. Based on spatial statistical analyses, the equipment manufacturing industry and the automobile sales industry in Shenyang City showed a spatial complementary integration, weak spatial correlation, and coordination with scale dependence and spatial heterogeneity in 2018. This distribution characteristic is attributed to: 1) local policy factors (i.e., that industrial land should be located in the periphery of the city or outside the Second Ring Road), and 2) the economic factors (i.e., that the degree of dependence of the equipment manufacturing industry and automobile sales industry were also influenced by external factors such as costs). These results improved the current industrial spatial relationship analysis by developing a new framework based on POI big data in order to accelerate a coordinated development between manufacturing and service industries and to promote the construction of industrial ecosystem.","['developing', 'economic', 'extracted', 'two', 'located', 'relationship', 'ie', 'ecosystem', 'crosscutting', 'local', 'current', 'distribution', 'statistical', 'correlation', 'second', 'scale', 'sales', 'influenced', 'geographical', 'construction', 'coordination', 'characteristic', 'accelerate', 'industries', 'external', 'points', 'promote', 'city', 'policy', 'improved', 'dependence', 'degree', 'manufacturing', 'weak', 'poi', 'sustainable', 'industry', 'service', 'units', 'coordinated', 'ring', 'outlets', 'road', 'system', 'factors', 'considerable', 'investigated', 'outside', 'costs', 'science', 'showed', 'order', 'shenyang', 'interest', 'perspective', 'equipment', 'regional', 'attributed', 'land', 'heterogeneity', 'periphery', 'automobile', 'industrial', 'area', 'subject', 'integration', 'new', 'location', 'taking', 'significance', 'complementary', 'analyses', 'geography']"
"Urban morphology promotes urban vibrancy from the spatiotemporal and synergetic perspectives: A case study using multisource data in Shenzhen, China",Li S.,Sustainability (Switzerland),10.3390/SU12124829,32,True,Wuhan University,Wuhan,China,"Urban vibrancy is the key and the foundation for monitoring the status of urban spatial development, assisting in data-driven urban development planning and realizing sustainable urban development. Based on a dataset of multisource geographical big data, the understanding and analysis of urban vibrancy can be deepened with fine granularity. The working framework in this study focuses on the comprehensive perspective of urban morphology, which is decomposed into two dimensions (formality and functionality) and four elements (road, block, building, point of interest). The geographically and temporally weighted regression model was first applied to determine the spatiotemporal effect of the morphological metrics on vibrancy, and then, the geographical detector was employed from the perspective of spatially stratified heterogeneity to reveal the synergetic impacts. The following findings were revealed. (1) Dense street networks, small and medium-sized blocks, and the diversification and intensification of building and land use are beneficial to urban vibrancy. (2) Under the premise of adapting to local conditions, urban spaces combine multiple morphological metrics for the accomplishment of a full-region and all-time vibrancy. (3) The mixture of urban functions is worthy of attention for vibrancy growth because of its extraordinary synergy, not its capacity. Morphological metrics serve to foster and prolong urban vibrancy, adapt to urban sustainability, and contend against inefficient, disorderly urban sprawl. These findings provide significant implications for urban planners/designers and policymakers to optimize urban morphology, improve the vibrancy in large cities, and implement high-quality city planning.","['vibrancy', 'decomposed', 'multiple', 'following', 'cities', 'sustainability', 'disorderly', 'prolong', 'spatiotemporal', 'dataset', 'plannersdesigners', 'granularity', 'implications', 'morphological', 'premise', 'geographically', 'street', 'morphology', 'datadriven', 'highquality', 'optimize', 'blocks', 'effect', 'comprehensive', 'improve', 'realizing', 'metrics', 'small', 'working', 'reveal', 'temporally', 'four', 'point', 'focuses', 'applied', 'adapt', 'functionality', 'perspective', 'stratified', 'alltime', 'determine', 'dense', 'interest', 'weighted', 'two', 'building', 'use', 'policymakers', 'multisource', 'revealed', 'block', 'geographical', 'functions', 'detector', 'intensification', 'city', 'worthy', 'accomplishment', 'sustainable', 'fullregion', 'monitoring', 'beneficial', 'mediumsized', 'inefficient', 'significant', 'contend', 'assisting', 'capacity', 'land', 'synergetic', 'first', 'serve', 'key', 'fine', 'attention', 'synergy', 'sprawl', 'dimensions', 'spatially', 'adapting', 'local', 'combine', 'implement', 'growth', 'regression', 'deepened', 'employed', 'foundation', 'status', 'mixture', 'foster', 'road', 'elements', 'conditions', 'impacts', 'provide', 'diversification', 'formality', 'large', 'extraordinary', 'networks', 'heterogeneity', 'spaces']"
Analysis of green spaces by utilizing big data to support smart cities and environment: A case study about the city center of Shanghai,Liu Q.,ISPRS International Journal of Geo-Information,10.3390/ijgi9060360,23,True,Huangshan University,Huangshan,China,"Green areas or parks are the best way to encourage people to take part in physical exercise. Traditional techniques of researching the attractiveness of green parks, such as surveys and questionnaires, are naturally time consuming and expensive, with less transferable outcomes and only site-specific findings. This research provides a factfinding study by means of location-based social network (LBSN) data to gather spatial and temporal patterns of green park visits in the city center of Shanghai, China. During the period from July 2014 to June 2017, we examined the spatiotemporal behavior of visitors in 71 green parks in Shanghai. We conducted an empirical investigation through kernel density estimation (KDE) and relative difference methods on the effects of green spaces on public behavior in Shanghai, and our main categories of findings are as follows: (i) check-in distribution of visitors in different green spaces, (ii) users' transition based on the hours of a day, (iii) famous parks in the study area based upon the number of check-ins, and (iv) gender difference among green park visitors. Furthermore, the purpose of obtaining these outcomes can be utilized in urban planning of a smart city for green environment according to the preferences of visitors.","['best', 'obtaining', 'iv', 'relative', 'distribution', 'surveys', 'naturally', 'gender', 'follows', 'less', 'density', 'users', 'means', 'spatiotemporal', 'checkins', 'environment', 'expensive', 'behavior', 'transition', 'furthermore', 'purpose', 'sitespecific', 'social', 'examined', 'outcomes', 'estimation', 'effects', 'difference', 'area', 'techniques', 'attractiveness', 'temporal', 'checkin', 'lbsn', 'factfinding', 'green', 'according', 'way', 'gather', 'number', 'june', 'among', 'exercise', 'consuming', 'kernel', 'traditional', 'visits', 'locationbased', 'patterns', 'transferable', 'encourage', 'city', 'july', 'different', 'main', 'take', 'categories', 'famous', 'physical', 'utilized', 'investigation', 'smart', 'hours', 'kde', 'part', 'areas', 'questionnaires', 'day', 'center', 'preferences', 'empirical', 'public', 'time', 'iii', 'period', 'shanghai', 'visitors', 'ii', 'network', 'park', 'researching', 'parks', 'provides', 'people', 'upon', 'conducted', 'spaces']"
"China's City Network Structural Characteristics Based on Population Flow during Spring Festival Travel Rush: Empirical Analysis of ""tencent Migration"" Big Data",Lai J.,Journal of Urban Planning and Development,10.1061/(ASCE)UP.1943-5444.0000581,41,False,Northwest Normal University China,Lanzhou,China,"With the advent of the Internet era, network data have become an important carrier characterizing residents' geography behavior. Tencent Migration big data can fully, dynamically, immediately, and visually record a population migration trajectory with location-based service (LBS) technology. Through the Tencent Migration data platform, data on daily population floating among 346 cities in China during the 2018 Spring Festival travel rush (SFTR) are obtained. The characteristics and spatial pattern of population flow among cities are analyzed from the perspectives of the population flow distribution level, hierarchical aggregation of the distributed network system, population flow spatial patterns, and network characteristics. Three-hundred forty-six cities were divided into nine communities. The results are as follows: the net inflow routes of the population in the three periods all show a diamond-shaped skeleton supported by a cross-shaped one. The population distribution centers are mainly concentrated in the four major urban agglomerations. The clear hierarchical structure and level distinction of population distribution centers can be identified, and there is a positive correlation between the level of city administrative and the influence of population floating. Population flows of most cities are in a relatively balanced state. The degree of urban network nodes is the power-law distribution, so the network is scale free, and the network has small-world characteristic. It provides a new perspective for the study of population mobility and urban network.","['pattern', 'distribution', 'correlation', 'visually', 'cities', 'follows', 'lbs', 'characteristics', 'smallworld', 'mobility', 'communities', 'behavior', 'crossshaped', 'skeleton', 'era', 'administrative', 'characterizing', 'free', 'major', 'threehundred', 'diamondshaped', 'hierarchical', 'powerlaw', 'balanced', 'dynamically', 'centers', 'nodes', 'aggregation', 'degree', 'record', 'technology', 'service', 'four', 'system', 'mainly', 'net', 'perspective', 'among', 'level', 'floating', 'residents', 'distinction', 'distributed', 'population', 'travel', 'fortysix', 'analyzed', 'sftr', 'scale', 'characteristic', 'locationbased', 'patterns', 'one', 'city', 'positive', 'trajectory', 'routes', 'divided', 'show', 'supported', 'state', 'daily', 'structure', 'clear', 'spring', 'identified', 'festival', 'important', 'obtained', 'network', 'flow', 'internet', 'advent', 'relatively', 'three', 'periods', 'fully', 'immediately', 'perspectives', 'influence', 'provides', 'carrier', 'become', 'platform', 'rush', 'tencent', 'agglomerations', 'migration', 'nine', 'concentrated', 'inflow', 'new', 'flows', 'geography']"
Big Data and Occupants' Behavior in Built Environments: Introducing a Game-Based Data Collection Method,Poplin A.,Journal of Urban Planning and Development,10.1061/(ASCE)UP.1943-5444.0000552,4,False,Iowa State University,Ames,United States,"Energy-related human behavior in buildings is difficult to define and quantify, yet critical to our understanding of total building energy consumption. It substantially influences energy consumption and saving. In the United States, residential and commercial buildings account for more than 70% of the total electrical energy consumed in the country. This paper explores the implementation of an online energy game, e-footprints, which aims to collect data about occupants' energy consumption and saving, and summarizes the feedback related to the first prototype of the user interface. The game was tested with 110 international students. The study focuses on the visualization, aesthetics, and usability of the e-footprints energy game, as these are the important elements of a player's interaction with the user interface and greatly influence the game play and the data that can be gathered. The paper concludes with a summary of the findings and general recommendations that may be useful for others using serious online urban planning games.","['important', 'greatly', 'building', 'international', 'players', 'may', 'summarizes', 'useful', 'occupants', 'substantially', 'students', 'energyrelated', 'yet', 'play', 'total', 'buildings', 'define', 'interface', 'usability', 'difficult', 'united', 'implementation', 'game', 'influence', 'states', 'general', 'games', 'feedback', 'residential', 'visualization', 'aims', 'prototype', 'tested', 'consumed', 'behavior', 'serious', 'summary', 'account', 'energy', 'focuses', 'commercial', 'country', 'efootprints', 'consumption', 'aesthetics', 'quantify', 'elements', 'influences', 'human', 'electrical', 'collect', 'first', 'concludes', 'explores', 'online', 'related', 'interaction', 'recommendations', 'critical', 'saving', 'user', 'others', 'gathered']"
Data-driven urban management: Mapping the landscape,Engin Z.,Journal of Urban Management,10.1016/j.jum.2019.12.001,91,True,University College London,London,United Kingdom,"Big data analytics and artificial intelligence, paired with blockchain technology, the Internet of Things, and other emerging technologies, are poised to revolutionise urban management. With massive amounts of data collected from citizens, devices, and traditional sources such as routine and well-established censuses, urban areas across the world have – for the first time in history – the opportunity to monitor and manage their urban infrastructure in real-time. This simultaneously provides previously unimaginable opportunities to shape the future of cities, but also gives rise to new ethical challenges. This paper provides a transdisciplinary synthesis of the developments, opportunities, and challenges for urban management and planning under this ongoing ‘digital revolution’ to provide a reference point for the largely fragmented research efforts and policy practice in this area. We consider both top-down systems engineering approaches and the bottom-up emergent approaches to coordination of different systems and functions, their implications for the existing physical and institutional constraints on the built environment and various planning practices, as well as the social and ethical considerations associated with this transformation from non-digital urban management to data-driven urban management.","['simultaneously', 'cities', 'institutional', 'censuses', 'artificial', 'policy', 'environment', 'reference', 'blockchain', 'challenges', 'implications', 'social', 'revolutionise', 'emerging', 'topdown', 'area', 'various', 'intelligence', 'technologies', 'datadriven', 'history', 'manage', 'transformation', 'opportunity', 'previously', 'technology', 'wellestablished', 'gives', 'point', 'digital', 'amounts', 'efforts', 'approaches', 'emergent', 'routine', 'nondigital', 'synthesis', 'ongoing', 'well', 'management', 'bottomup', 'traditional', 'functions', 'considerations', 'engineering', 'consider', 'world', 'constraints', 'different', 'shape', 'largely', 'massive', 'monitor', 'physical', 'collected', 'realtime', 'opportunities', 'ethical', 'practice', 'areas', 'things', 'first', 'transdisciplinary', 'revolution', 'associated', 'time', 'existing', 'systems', 'internet', 'poised', 'coordination', 'rise', 'practices', 'future', 'citizens', 'across', 'provides', 'built', 'unimaginable', 'devices', 'infrastructure', 'provide', 'sources', 'paired', 'analytics', 'new', 'developments', 'fragmented']"
State-of-the-art geospatial information processing in NoSQL databases,Guo D.,ISPRS International Journal of Geo-Information,10.3390/ijgi9050331,36,True,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway,"Geospatial information has been indispensable for many application fields, including traffic planning, urban planning, and energy management. Geospatial data are mainly stored in relational databases that have been developed over several decades, and most geographic information applications are desktop applications. With the arrival of big data, geospatial information applications are also being modified into, e.g., mobile platforms and Geospatial Web Services, which require changeable data schemas, faster query response times, and more flexible scalability than traditional spatial relational databases currently have. To respond to these new requirements, NoSQL (Not only SQL) databases are now being adopted for geospatial data storage, management, and queries. This paper reviews state-of-the-art geospatial data processing in the 10 most popular NoSQL databases. We summarize the supported geometry objects, main geometry functions, spatial indexes, query languages, and data formats of these 10 NoSQL databases. Moreover, the pros and cons of these NoSQL databases are analyzed in terms of geospatial data processing. A literature review and analysis showed that current document databases may be more suitable for massive geospatial data processing than are other NoSQL databases due to their comprehensive support for geometry objects and data formats and their performance, geospatial functions, index methods, and academic development. However, depending on the application scenarios, graph databases, key-value, and wide column databases have their own advantages.","['schemas', 'respond', 'literature', 'geometry', 'arrival', 'sql', 'services', 'storage', 'applications', 'mobile', 'times', 'queries', 'query', 'geographic', 'modified', 'currently', 'showed', 'document', 'review', 'suitable', 'scenarios', 'databases', 'support', 'adopted', 'comprehensive', 'faster', 'index', 'desktop', 'popular', 'including', 'developed', 'web', 'reviews', 'terms', 'mainly', 'many', 'energy', 'several', 'requirements', 'languages', 'stored', 'advantages', 'graph', 'decades', 'moreover', 'analyzed', 'may', 'current', 'management', 'response', 'traditional', 'functions', 'main', 'keyvalue', 'academic', 'fields', 'supported', 'massive', 'stateoftheart', 'depending', 'scalability', 'geospatial', 'indispensable', 'indexes', 'summarize', 'processing', 'column', 'objects', 'require', 'changeable', 'due', 'traffic', 'formats', 'pros', 'relational', 'eg', 'cons', 'nosql', 'wide', 'flexible', 'new', 'platforms']"
Delineating urban park catchment areas using mobile phone data: A case study of Tokyo,Guan C.H.,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2020.101474,43,True,NYU Shanghai,Shanghai,China,"Urban parks can offer both physical and psychological health benefits to urban dwellers and provide social, economic, and environmental benefits to society. Earlier research on the usage of urban parks relied on fixed distance or walking time to delineate urban park catchment areas. However, actual catchment areas can be affected by many factors other than park surface areas, such as social capital cultivation, cultural adaptation, climate and seasonal variation, and park function and facilities provided. This study advanced this method by using mobile phone data to delineate urban park catchment area. The study area is the 23 special wards of Tokyo or tokubetsu-ku, the core of the capital of Japan. The location data of over 1 million anonymous mobile phone users was collected in 2011. The results show that: (1) the park catchment areas vary significantly by park surface areas: people use smaller parks nearby but also travel further to larger parks; (2) even for the parks in the same size category, there are notable differences in the spatial pattern of visitors, which cannot be simply summarized with average distance or catchment radius; and (3) almost all the parks, regardless of its size and function, had the highest user density right around the vicinity, exemplified by the density-distance function closely follow a decay trend line within 1–2 km radius of the park. As such, this study used the density threshold and density-distance function to measure park catchment. We concluded that the application of mobile phone location data can improve our understanding of an urban park catchment area, provide useful information and methods to analyze the usage of urban parks, and can aid in the planning and policy-making of urban parks.","['pattern', 'average', 'tokyo', 'affected', 'seasonal', 'usage', 'users', 'density', 'km', 'can', 'not', 'differences', 'radius', 'japan', 'variation', 'closely', 'mobile', 'larger', 'capital', 'social', 'function', 'area', 'right', 'notable', 'location', 'highest', 'user', 'factors', 'health', 'economic', 'climate', 'smaller', 'anonymous', 'nearby', 'measure', 'useful', 'adaptation', 'trend', 'catchment', 'improve', 'wards', 'even', 'policymaking', 'dwellers', 'core', 'environmental', 'earlier', 'many', 'category', 'size', 'concluded', 'simply', 'travel', 'surface', 'within', 'vary', 'use', 'method', 'cultural', 'distance', 'special', 'significantly', 'around', 'regardless', 'million', 'phone', 'exemplified', 'line', 'show', 'follow', 'physical', 'benefits', 'collected', 'aid', 'walking', 'areas', 'time', 'facilities', 'delineate', 'decay', 'psychological', 'visitors', 'park', 'cultivation', 'advanced', 'actual', 'fixed', 'densitydistance', 'parks', 'tokubetsuku', 'people', 'relied', 'offer', 'vicinity', 'provide', 'summarized', 'analyze', 'threshold', 'provided', 'almost', 'society']"
Spatial pattern of intercity less-than-truckload logistics networks in China,Ren M.,Dili Xuebao/Acta Geographica Sinica,10.11821/dlxb202004011,14,False,Harbin Institute of Technology,Harbin,China,"Freight logistics is one of the most important socioeconomic connection elements between regions. The intercity logistics connection is an important perspective to understand regional production-consumption relationship and urban spatial structure. However, due to the lack of data and methods, few studies can effectively reveal the intercity logistics network pattern at the nation level. With the development and application of Internet and data science, the logistics resources and data integrated by the fourth party logistics platform provide new data source and research foundation for logistics studies. Drawing online less-than-truckload logistics transaction data for 3 months from November 2017 to January 2018, from the largest 4th party logistics (4PL) platform in China, this research aims to explore the intercity logistics connection pattern and urban logistics function differences. The outbound and inbound transaction numbers were calculated first for each prefecture-level city. With the approach of social network analysis (SNA), the logistics connection intensity and corresponding centrality were then computed and visualized for each city in the network. The research results show that: (1) the intercity logistics landscape roughly coincides with interregional socio-economic development. Taking three metropolises (i.e., Beijing-Tianjin-Hebei, Yangtze River Delta, and Pearl River Delta) as core triangle corridors, the national logistics connection pattern decreases from coastal area to inland areas. (2) Logistics activities are characterized by significant cross-regional flow. Active are intercity logistics shipment activities within the threshold of 1200 km distance. (3) According to the less-than-truckload logistics (LTL) network pattern, cities in China could be further divided into five categories, namely the national primary logistics city, national logistics center cities, national logistics node cities, regional logistics center cities and local logistics cities. These conclusions are expected to, from the perspective of intercity logistics connections, support national, provincial and city governments to make spatial planning and logistics planning.","['pattern', 'characterized', 'cities', 'km', 'river', 'differences', 'primary', 'productionconsumption', 'transaction', 'science', 'social', 'studies', 'function', 'regions', 'resources', 'area', 'drawing', 'online', 'prefecturelevel', 'taking', 'triangle', 'support', 'relationship', 'outbound', 'corresponding', 'roughly', 'metropolises', 'according', 'november', 'connection', 'connections', 'logistics', 'crossregional', 'source', 'reveal', 'core', 'node', 'understand', 'socioeconomic', 'perspective', 'regional', 'level', 'provincial', 'numbers', 'ltl', 'activities', 'within', 'inbound', 'effectively', 'yangtze', 'make', 'governments', 'visualized', 'one', 'distance', 'city', 'nation', 'fourth', 'coastal', 'aims', 'inland', 'show', 'corridors', 'divided', 'categories', 'namely', 'significant', 'party', 'areas', 'centrality', 'landscape', 'center', 'first', 'could', 'expected', 'structure', 'shipment', 'months', 'delta', 'important', 'explore', 'ie', 'local', 'network', 'sna', 'decreases', 'flow', 'pearl', 'internet', 'integrated', 'conclusions', 'lack', 'computed', 'largest', 'intercity', 'intensity', 'three', 'due', 'five', 'foundation', 'interregional', 'platform', 'national', 'elements', 'lessthantruckload', 'coincides', 'active', 'provide', 'beijingtianjinhebei', 'freight', 'new', 'threshold', 'january', 'calculated']"
Big spatial data for urban and environmental sustainability,Huang B.,Geo-Spatial Information Science,10.1080/10095020.2020.1754138,58,True,Chinese University of Hong Kong,Hong Kong,Hong Kong,"Eighty percent of big data are associated with spatial information, and thus are Big Spatial Data (BSD). BSD provides new and great opportunities to rework problems in urban and environmental sustainability with advanced BSD analytics. To fully leverage the advantages of BSD, it is integrated with conventional data (e.g. remote sensing images) and improved methods are developed. This paper introduces four case studies: (1) Detection of polycentric urban structures; (2) Evaluation of urban vibrancy; (3) Estimation of population exposure to PM2.5; and (4) Urban land-use classification via deep learning. The results provide evidence that integrated methods can harness the advantages of both traditional data and BSD. Meanwhile, they can also improve the effectiveness of big data itself. Finally, this study makes three key recommendations for the development of BSD with regards to data fusion, data and predicting analytics, and theoretical modeling.","['vibrancy', 'case', 'eighty', 'leverage', 'deep', 'great', 'polycentric', 'detection', 'predicting', 'integrated', 'introduces', 'traditional', 'problems', 'sustainability', 'exposure', 'remote', 'effectiveness', 'advanced', 'learning', 'improve', 'regards', 'percent', 'rework', 'developed', 'three', 'fully', 'improved', 'provides', 'modeling', 'harness', 'thus', 'structures', 'meanwhile', 'four', 'environmental', 'fusion', 'studies', 'eg', 'estimation', 'classification', 'opportunities', 'provide', 'advantages', 'theoretical', 'finally', 'analytics', 'new', 'associated', 'bsd', 'conventional', 'population', 'makes', 'recommendations', 'images', 'via', 'key', 'sensing', 'landuse']"
Does high-speed rail influence urban dynamics and land pricing?,Rungskunroch P.,Sustainability (Switzerland),10.3390/su12073012,26,True,"University of California, Berkeley",Berkeley,United States,"At present, many countries around the world have significantly invested in sustainable transportation systems, especially for high-speed rail (HSR) infrastructures, since they are believed to improve economies, and regenerate regional and business growth. In this study, we focus on economic growth, dynamic land use, and urban mobility. The emphasis is placed on testing a hypothesis about whether HSRs can enable socio-economic development. Real case studies using big data from large cities in China, namely Shanghai province and Minhang districts, are taken into account. Socio-technical information such as employment rate, property pricing, and agglomeration in the country's economy is collected from the China Statistics Bureau and the China Academy of Railway Sciences for analyses. This research aims to re-examine practical factors resulting from HSR's impact on urban areas by using ANOVA analysis and dummy variable regression to analyse urban dynamics and property pricing. In addition, this study enhances the prediction outcomes that lead to urban planning strategies for the business area. The results reveal that there are various effects (i.e., regional accessibility, city development plans, and so on) required to enable the success of HSR infrastructure in order to enrich urban dynamics and land pricing. This paper also highlights critical perspectives towards sustainability, which are vital to social and economic impacts. In addition, this study provides crucial perspectives on sustainable developments for future HSR projects.","['practical', 'employment', 'analyse', 'cities', 'sustainability', 'lead', 'believed', 'hypothesis', 'transportation', 'resulting', 'mobility', 'districts', 'highlights', 'sociotechnical', 'success', 'plans', 'hsr', 'countrys', 'social', 'studies', 'outcomes', 'variable', 'whether', 'agglomeration', 'real', 'effects', 'property', 'dummy', 'area', 'various', 'dynamic', 'analyses', 'account', 'factors', 'business', 'present', 'infrastructures', 'dynamics', 'economic', 'reexamine', 'focus', 'enhances', 'improve', 'statistics', 'addition', 'reveal', 'economies', 'crucial', 'many', 'emphasis', 'placed', 'socioeconomic', 'regional', 'rail', 'required', 'use', 'since', 'academy', 'prediction', 'regenerate', 'province', 'around', 'significantly', 'world', 'rate', 'city', 'enrich', 'accessibility', 'sustainable', 'aims', 'bureau', 'namely', 'highspeed', 'collected', 'areas', 'land', 'enable', 'especially', 'testing', 'critical', 'taken', 'case', 'systems', 'hsrs', 'shanghai', 'ie', 'sciences', 'towards', 'strategies', 'future', 'railway', 'pricing', 'growth', 'minhang', 'regression', 'perspectives', 'provides', 'vital', 'invested', 'infrastructure', 'order', 'impacts', 'projects', 'anova', 'economy', 'developments', 'large', 'countries']"
Smart city development in Taiwan: From the perspective of the information security policy,Wu Y.C.,Sustainability (Switzerland),10.3390/su12072916,17,True,National Open University,Taipei,Taiwan,"A smart city is developed through the Internet of Things (IoT), cloud computing, big data, mobile Internet, and other new generation technologies regarding information and communication, and data resources in various fields are integrated and applied. The issue of information security in the network era is the strategic focus, as well as the focus of people's attention, during Taiwan's smart city construction. Information security policies are the information security guidelines for organizations, and are key to the organization's information security performance; moreover, such policies show the organization's support and commitment to the information security of smart cities. This paper discusses the model of information security policy in Taiwan's smart cities, uses Path Analysis to explore the characteristics of information security policy in smart cities, and examines the relationship between the formulation, implementation, maintenance, and effectiveness of information security policies. Furthermore, this study examines the impact on the effectiveness of organizational information security policies and information security performance from the following aspects: The length of information security policy publication time, policy review, policy advocacy, employee compliance, fair law enforcement, etc., which are all concrete manifestations of the formulation, implementation, and maintenance of information security policy models. Through a questionnaire survey, the correlation between various assumptions, as well as the relationship between organizational information security characteristics, information security policies, and the effectiveness of information security, are verified one by one during the implementation of information security policies. Finally, conclusions and implications are put forward.","['following', 'correlation', 'cities', 'communication', 'characteristics', 'policy', 'issue', 'mobile', 'furthermore', 'iot', 'implications', 'publication', 'strategic', 'era', 'review', 'length', 'advocacy', 'resources', 'various', 'security', 'path', 'technologies', 'guidelines', 'formulation', 'support', 'relationship', 'manifestations', 'construction', 'effectiveness', 'compliance', 'concrete', 'developed', 'implementation', 'applied', 'taiwans', 'aspects', 'verified', 'commitment', 'law', 'computing', 'etc', 'moreover', 'questionnaire', 'well', 'maintenance', 'one', 'city', 'fair', 'organizational', 'enforcement', 'examines', 'fields', 'show', 'policies', 'smart', 'assumptions', 'generation', 'things', 'finally', 'forward', 'models', 'time', 'key', 'attention', 'employee', 'peoples', 'explore', 'network', 'internet', 'integrated', 'organizations', 'conclusions', 'regarding', 'discusses', 'put', 'cloud', 'survey', 'uses', 'new', 'focus']"
Evaluation system: Evaluation of smart city shareable framework and its applications in China,Li C.,Sustainability (Switzerland),10.3390/su12072957,31,True,Chinese Academy of Surveying and Mapping,Beijing,China,"Smart city evaluation is a critical component in smart city construction and plays an important role in guiding and promoting smart development of cities. Currently, existing research and applications of smart city evaluation are still in the exploration stage. They mainly focus on evaluation of one single aspect, use indicators with distinct regional characteristics and poor extensibility, and cannot be well-integrated with common and shareable smart city frameworks; these limitations have led to biased evaluation results. Based on a common and shareable smart city framework, this paper proposes a well-integrated, universal, strongly practical, and highly extensible evaluation system. Then, using the above-mentioned evaluation system, 17 smart cities in China are assessed. This application demonstrates that the evaluation system plays an important guiding role for better understanding the overall smart city platform construction situation in China, performing horizontal comparisons and establishing benchmarks among smart cities. Comparative analyses of indicators demonstrate that future smart city construction in China should pay more attention to novel innovations, the construction of dynamic information resources and spatiotemporal big data.","['important', 'abovementioned', 'use', 'practical', 'extensible', 'performing', 'universal', 'single', 'indicators', 'comparisons', 'shareable', 'exploration', 'cities', 'horizontal', 'construction', 'one', 'strongly', 'future', 'comparative', 'overall', 'characteristics', 'can', 'not', 'poor', 'guiding', 'distinct', 'spatiotemporal', 'city', 'proposes', 'limitations', 'applications', 'demonstrate', 'platform', 'wellintegrated', 'demonstrates', 'system', 'mainly', 'led', 'still', 'role', 'smart', 'stage', 'situation', 'currently', 'better', 'highly', 'benchmarks', 'attention', 'biased', 'regional', 'common', 'among', 'innovations', 'assessed', 'frameworks', 'extensibility', 'resources', 'component', 'pay', 'novel', 'critical', 'dynamic', 'existing', 'aspect', 'focus', 'promoting', 'plays', 'analyses', 'establishing']"
